"","chi","xi","admissible"
"383",0.65,0.0396969696969697,TRUE
"384",0.67,0.0396969696969697,TRUE
"385",0.69,0.0396969696969697,TRUE
"386",0.71,0.0396969696969697,TRUE
"387",0.73,0.0396969696969697,TRUE
"388",0.75,0.0396969696969697,TRUE
"389",0.77,0.0396969696969697,TRUE
"390",0.79,0.0396969696969697,TRUE
"391",0.81,0.0396969696969697,TRUE
"392",0.83,0.0396969696969697,TRUE
"393",0.85,0.0396969696969697,TRUE
"394",0.87,0.0396969696969697,TRUE
"395",0.89,0.0396969696969697,TRUE
"396",0.91,0.0396969696969697,TRUE
"397",0.93,0.0396969696969697,FALSE
"398",0.95,0.0396969696969697,FALSE
"399",0.97,0.0396969696969697,FALSE
"400",0.99,0.0396969696969697,FALSE
"401",-0.99,0.0495959595959596,FALSE
"402",-0.97,0.0495959595959596,FALSE
"403",-0.95,0.0495959595959596,FALSE
"404",-0.93,0.0495959595959596,TRUE
"405",-0.91,0.0495959595959596,TRUE
"406",-0.89,0.0495959595959596,TRUE
"407",-0.87,0.0495959595959596,TRUE
"408",-0.85,0.0495959595959596,TRUE
"409",-0.83,0.0495959595959596,TRUE
"410",-0.81,0.0495959595959596,TRUE
"411",-0.79,0.0495959595959596,TRUE
"412",-0.77,0.0495959595959596,TRUE
"413",-0.75,0.0495959595959596,TRUE
"414",-0.73,0.0495959595959596,TRUE
"415",-0.71,0.0495959595959596,TRUE
"416",-0.69,0.0495959595959596,TRUE
"417",-0.67,0.0495959595959596,TRUE
"418",-0.65,0.0495959595959596,TRUE
"419",-0.63,0.0495959595959596,TRUE
"420",-0.61,0.0495959595959596,TRUE
"421",-0.59,0.0495959595959596,TRUE
"422",-0.57,0.0495959595959596,TRUE
"423",-0.55,0.0495959595959596,TRUE
"424",-0.53,0.0495959595959596,TRUE
"425",-0.51,0.0495959595959596,TRUE
"426",-0.49,0.0495959595959596,TRUE
"427",-0.47,0.0495959595959596,TRUE
"428",-0.45,0.0495959595959596,TRUE
"429",-0.43,0.0495959595959596,TRUE
"430",-0.41,0.0495959595959596,TRUE
"431",-0.39,0.0495959595959596,TRUE
"432",-0.37,0.0495959595959596,TRUE
"433",-0.35,0.0495959595959596,TRUE
"434",-0.33,0.0495959595959596,TRUE
"435",-0.31,0.0495959595959596,TRUE
"436",-0.29,0.0495959595959596,TRUE
"437",-0.27,0.0495959595959596,TRUE
"438",-0.25,0.0495959595959596,TRUE
"439",-0.23,0.0495959595959596,TRUE
"440",-0.21,0.0495959595959596,TRUE
"441",-0.19,0.0495959595959596,TRUE
"442",-0.17,0.0495959595959596,TRUE
"443",-0.15,0.0495959595959596,TRUE
"444",-0.13,0.0495959595959596,TRUE
"445",-0.11,0.0495959595959596,TRUE
"446",-0.09,0.0495959595959596,TRUE
"447",-0.07,0.0495959595959596,TRUE
"448",-0.0499999999999999,0.0495959595959596,TRUE
